question,answer_llm,answer_orig,document
Is it still possible to join the course if I found it late?,"Yes, you can still join the course if you found it late. If you want a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I start the course after it has already begun?,"You can start whenever you want — the course materials and videos are available, and you can begin even after the course has already started.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join the course now, can I still get a certificate?","Yes, but only if you submit your project while the course is still accepting submissions in the live cohort. You can prepare in self-paced mode, but to get a certificate you must finish the capstone project and required peer reviews during the live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I'm joining late?,"To qualify for the certificate, you need to finish a capstone project and complete the required peer reviews **while a live cohort is accepting submissions and reviews**. You can prepare in self-paced mode, but the **project submission and peer review must happen during a live cohort**.

Homework is **not required** for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Are project submissions only accepted during a certain period for the certificate?,"Yes. To get the certificate, your capstone project must be submitted while the course is still accepting submissions with a live cohort. After the submission form closes, you can no longer submit for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp — when should I get a confirmation email?,"You don’t need to wait for a confirmation email — you’re already accepted. Registration is just to gauge interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for approval before starting the course and submitting homework?,"No — you don’t need to wait for approval. You can start learning and submitting homework right away while the form is open, and registration isn’t checked against a list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there some kind of accepted list for the LLM Zoomcamp registration?,"No. There isn’t an accepted registration list for LLM Zoomcamp. Registration is just to gauge interest, and you can start learning and submitting homework while the form is open without being checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Why do we have to register for the course if it isn't checked later?,"Registration is just to gauge interest before the start date. It isn’t checked against a registered list, so you can start learning and submitting homework without it.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the purpose of the LLM Zoomcamp registration form?,The purpose of the LLM Zoomcamp registration form is to gauge interest before the start date. It is not used to approve or check enrollment.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if I’m a student—do I need the Zoom link?,"No—the Zoom link is only for instructors/presenters/TAs.

As a student, you should join via **YouTube Live** and use **Slido** for questions. The live video link is usually posted in the **announcements channel on Telegram and Slack** before the session starts, and you can also watch on the **DataTalksClub YouTube channel**.

Don’t post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the stream link for the live session before it starts?,The stream/video URL should be posted in the announcements channel on Telegram and Slack before it begins. You can also watch it live on the DataTalksClub YouTube Channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can students get access to the Zoom for office hours, or is it only for the course staff?","The Zoom link is only published to instructors/presenters/TAs, so students don’t get direct access to the office hours Zoom. Students can join via YouTube Live and ask questions through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to ask questions during the live workshop if I’m watching on YouTube?,"If you’re watching on YouTube, the best way is to ask questions on **Slido** — the link is **pinned in the chat when the session is live**. Don’t post questions in the YouTube chat, because they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I post my questions in the live chat, or is there a better place to send them during office hours?","No—don’t post questions in the live chat, because they may be missed if the room is active.

The better place is **Slido** during live/office hours (the link is pinned in the chat when live). If your question isn’t specifically about the live session, you can also ask in **Slack** and follow the asking questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do I begin if I want to take the LLM Zoomcamp and keep up with the weekly work?,"Start here:

1. **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/  
2. **General Zoomcamp logistics**: https://datatalks.club/docs/courses/zoomcamp-logistics/  
3. **LLM Zoomcamp GitHub repo**: https://github.com/DataTalksClub/llm-zoomcamp

For keeping up with the weekly work:

- **Watch the lesson videos**
- **Work through the lesson notebooks/code**
- **Read the homework instructions on GitHub**
- **Submit your answers on the course platform before the deadline**

You can start anytime, and the deadlines/progress are tracked here:  
https://courses.datatalks.club/llm-zoomcamp-2026/

If you’re unsure where to begin on a given week, follow the **GitHub repo first** because it’s the easiest to keep updated.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual order for going through the lessons, notebooks, and homework in this course?","The usual order is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers on the course platform before the deadline","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start the course on a fixed date, or can I begin anytime and just follow the materials?","You can start anytime and follow the materials at your own pace. The videos, GitHub materials, and homework instructions are available, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where can I find the deadlines and submit my homework answers for LLM Zoomcamp?,"You can find the deadlines in the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That same platform is where you **submit your homework answers**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data and tasks?","Homework is similar to the lesson flow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,Click the **“Jump to your record on the leaderboard”** link — that will take you straight to your entry even if your random display name isn’t easy to spot.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show some random name instead of my real name?,"The leaderboard uses your separate **display name**, which is **anonymous by default** and automatically set to a random nickname like “Lucid Elbakyan.”

Your **real name** is only used in the **certificate name field** and appears on your certificate, not on the public leaderboard.

You can change both in **Edit Course Profile**:
- **First field:** public nickname/display name for the leaderboard
- **Second field:** official name for your certificate","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name the course has for me?,Click the **“Edit Course Profile”** button. The **first field** is your **display name/nickname** shown on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the nickname that appears in the course and on the leaderboard?,"Yes. In **Edit Course Profile**, the **first field** is your public nickname/display name. You can change it to whatever you want, and that’s the name shown in the course and on the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I enter if I want my certificate to show my real legal name instead of the default one?,"Enter your **official legal name** — the same name as on your ID documents (passport, national ID, driver’s license, etc.). This will appear on your certificate instead of the default name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I take this course at my own pace and still earn the certificate later?,"No. You can work through the material in self-paced mode, but you can only earn the certificate if you finish with a live cohort and submit your capstone project and required peer reviews while submissions are still being accepted.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Do I need to submit homework to get the certificate, or is the final project enough?","No, homework is not required for the certificate. You need to pass the Capstone/final project and complete the required peer reviews while a live cohort is accepting submissions.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I go through the lessons in self-paced mode, can I still get certified once I’m done?","No. You can work through the lessons in self-paced mode, but you can only get certified if you finish the course with a live cohort and complete the capstone project plus the required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
What are the exact requirements for the certificate in this course?,"To get the certificate, you must:

- Finish the course with a **live cohort** — self-paced completion alone is not enough.
- **Complete a capstone project**.
- **Complete the required peer reviews**.
- Submit the project and do the peer reviews **while a live cohort is accepting them**.

**Homework is not required** for the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I prepare the capstone on my own and then submit it when a live cohort is open?,"Yes. You can work on the capstone in self-paced mode, but the project submission and peer review must happen while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I still get the certificate if I skipped the first homework?,Yes — you can still get the certificate if you skipped the first homework. Homework is not mandatory; you just need to pass the Capstone project and complete the required peer reviews to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do every homework assignment to earn the certificate?,No. Homework is not mandatory for the certificate. You only need to pass the Capstone project and complete the required peer reviews.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What actually matters for getting the course certificate?,"What actually matters is:

- **Finish the course with a live cohort**
- **Pass the capstone project**
- **Complete the required peer reviews**

**Homework is not required** for the certificate. You can do the material and prepare in self-paced mode, but **project submission and peer review must happen while a live cohort is accepting them**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the Capstone project enough to qualify for the certificate?,"Yes — passing the Capstone project is required for the certificate, but it is **not enough by itself**.

You also need to complete the **required peer reviews**, and the project submission/reviews must happen while a **live cohort** is accepting them. Homework is **not required**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Are homework points required for the certificate or just for the leaderboard?,"Homework points are **not required for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework is **optional** but recommended, and the points from homework **count toward your leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s due?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on it in advance is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
