question,document
Is it still possible to join the course if I found it late?,74eb249bbf
Can I start the course after it has already begun?,74eb249bbf
"If I join the course now, can I still get a certificate?",74eb249bbf
What do I need to do to qualify for the certificate if I'm joining late?,74eb249bbf
Are project submissions only accepted during a certain period for the certificate?,74eb249bbf
I registered for the LLM Zoomcamp — when should I get a confirmation email?,977bf7786c
Do I actually need to wait for approval before starting the course and submitting homework?,977bf7786c
Is there some kind of accepted list for the LLM Zoomcamp registration?,977bf7786c
Why do we have to register for the course if it isn't checked later?,977bf7786c
What is the purpose of the LLM Zoomcamp registration form?,977bf7786c
How do I join the Office Hours or live workshop if I’m a student—do I need the Zoom link?,489dd1c9d9
Where can I find the stream link for the live session before it starts?,489dd1c9d9
"Can students get access to the Zoom for office hours, or is it only for the course staff?",489dd1c9d9
What’s the best way to ask questions during the live workshop if I’m watching on YouTube?,489dd1c9d9
"Should I post my questions in the live chat, or is there a better place to send them during office hours?",489dd1c9d9
Where do I begin if I want to take the LLM Zoomcamp and keep up with the weekly work?,04919992b3
"What’s the usual order for going through the lessons, notebooks, and homework in this course?",04919992b3
"Do I have to start the course on a fixed date, or can I begin anytime and just follow the materials?",04919992b3
Where can I find the deadlines and submit my homework answers for LLM Zoomcamp?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data and tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,c2903069a0
Why does the leaderboard show some random name instead of my real name?,c2903069a0
Where can I check what display name the course has for me?,c2903069a0
Can I change the nickname that appears in the course and on the leaderboard?,c2903069a0
What name should I enter if I want my certificate to show my real legal name instead of the default one?,c2903069a0
Can I take this course at my own pace and still earn the certificate later?,69d122f12e
"Do I need to submit homework to get the certificate, or is the final project enough?",69d122f12e
"If I go through the lessons in self-paced mode, can I still get certified once I’m done?",69d122f12e
What are the exact requirements for the certificate in this course?,69d122f12e
Can I prepare the capstone on my own and then submit it when a live cohort is open?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
Do I have to do every homework assignment to earn the certificate?,9f689c185f
What actually matters for getting the course certificate?,9f689c185f
Is the Capstone project enough to qualify for the certificate?,9f689c185f
Are homework points required for the certificate or just for the leaderboard?,9f689c185f
Why does the homework content keep changing before it’s due?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How do I know when a homework assignment is actually ready?,96286b4be4
Can I start doing the homework if the form is already open but the title still says [DRAFT]?,96286b4be4
"Is it safe to work on homework early, or can the final version still change later?",96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next run of the course starts?,bd31146b0e
Is there a planned offering of this course in summer 2027?,bd31146b0e
When can I expect this course to be available again?,bd31146b0e
What's the next scheduled session for this course?,bd31146b0e
Where can I find the lecture videos for LLM Zoomcamp?,31456f4b5f
Is there a main page or repo I should use to get to the lessons and videos?,31456f4b5f
"Do the lesson folders in the GitHub repo include the video links, or do I need to search YouTube separately?",31456f4b5f
